Origin,Year,Month,Cancelled,Cancelled,Delayed,Delayed,TotalFlights,DepDelay,ArrDelay,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
LGA,2008,9,333.0,0.03429101019462465,2211.0,0.22767995057151683,9711.0,5.037534655576882,2.1558663392761823,663.3063536196066,10.195174262734584,4.37426273458445,18.20697050938338,0.0,17.10402144772118
LGA,2008,10,223.0,0.02212960206410638,2276.0,0.22586087129105883,10077.0,2.7470600162206003,-4.002335499593826,664.0011908306044,9.52212389380531,3.0848082595870205,13.847345132743364,0.0022123893805309734,16.891592920353983
LGA,2008,11,203.0,0.02404643449419569,1868.0,0.2212745794835347,8442.0,4.104803493449782,-4.451409135082605,691.862117981521,10.547451669595782,3.8840070298769773,13.978031634446397,0.0,24.934973637961335
LGA,2008,12,472.0,0.0537279453614115,3152.0,0.3587933978372225,8785.0,12.517228959058711,9.634255344848413,705.2492885600456,10.471390845070422,7.870158450704225,19.204665492957748,0.0801056338028169,23.753961267605632
LGB,2008,1,24.0,0.01929260450160772,408.0,0.3279742765273312,1244.0,7.500819672131148,6.153404429860541,979.9734726688102,9.74485596707819,1.9053497942386832,16.54732510288066,0.07407407407407407,26.666666666666668
LGB,2008,2,9.0,0.007765314926660914,319.0,0.27523727351164795,1159.0,5.237391304347826,2.8356521739130436,952.4452113891285,12.751479289940828,0.46153846153846156,24.473372781065088,0.13609467455621302,24.775147928994084
LGB,2008,3,9.0,0.007058823529411765,340.0,0.26666666666666666,1275.0,3.7472353870458135,0.5308056872037915,938.5890196078432,13.005847953216374,0.6432748538011696,17.029239766081872,0.05263157894736842,20.50877192982456
LGB,2008,4,5.0,0.004058441558441558,271.0,0.21996753246753248,1232.0,1.5419722901385493,-1.6666666666666667,935.922077922078,15.96774193548387,0.0,19.68548387096774,0.1693548387096774,16.362903225806452
LGB,2008,5,4.0,0.0029717682020802376,345.0,0.2563150074294205,1346.0,2.005961251862891,-2.1649253731343285,991.7072808320951,19.49673202614379,0.13725490196078433,17.104575163398692,0.24183006535947713,10.705882352941176
LGB,2008,6,5.0,0.003472222222222222,602.0,0.41805555555555557,1440.0,8.779790940766551,5.405063291139241,989.3152777777777,13.598591549295774,0.0,16.20774647887324,0.0,20.274647887323944
LGB,2008,7,18.0,0.012295081967213115,553.0,0.3777322404371585,1464.0,9.7731673582296,6.229485396383867,996.4699453551913,23.882575757575758,0.0,17.227272727272727,0.01893939393939394,18.40530303030303
